;Dom�sticas;Internacionais;Total
15 de fev;61;-3;31
16 de fev;62;-3;30
17 de fev;47;-11;19
18 de fev;45;-8;21
19 de fev;43;-7;20
20 de fev;38;-13;14
21 de fev;37;-12;15
22 de fev;34;-12;12
23 de fev;16;-19;-1
24 de fev;13;-18;-1
25 de fev;29;-12;9
26 de fev;57;-4;28
27 de fev;66;-8;32
28 de fev;66;-6;34
29 de fev;82;3;45
01 de mar;109;10;59
02 de mar;101;0;52
03 de mar;77;-17;30
04 de mar;35;-27;6
05 de mar;17;-31;-5
06 de mar;21;-32;-3
07 de mar;16;-44;-14
08 de mar;15;-38;-11
09 de mar;19;-34;-5
10 de mar;23;-34;-3
11 de mar;21;-37;-5
12 de mar;10;-33;-9
13 de mar;-2;-36;-16
14 de mar;-6;-35;-19
15 de mar;-10;-38;-23
16 de mar;-15;-39;-26
17 de mar;-25;-48;-36
18 de mar;-31;-54;-42
19 de mar;-41;-57;-48
20 de mar;-49;-58;-53
21 de mar;-53;-64;-58
22 de mar;-66;-72;-69
23 de mar;-66;-74;-70
24 de mar;-67;-76;-71
25 de mar;-69;-74;-71
26 de mar;-65;-72;-68
27 de mar;-63;-69;-66
28 de mar;-63;-68;-65
29 de mar;-68;-73;-70
30 de mar;-69;-75;-72
31 de mar;-68;-77;-72
01 de abr;-66;-76;-70
02 de abr;-67;-75;-71
03 de abr;-67;-75;-71
04 de abr;-71;-75;-73
05 de abr;-71;-77;-74
06 de abr;-73;-78;-75
07 de abr;-74;-80;-77
08 de abr;-75;-80;-78
09 de abr;-75;-79;-77
10 de abr;-73;-74;-74
11 de abr;-75;-76;-75
12 de abr;-77;-78;-78
13 de abr;-75;-80;-77
14 de abr;-74;-79;-77
15 de abr;-74;-80;-77
16 de abr;-72;-77;-74
17 de abr;-71;-80;-75
18 de abr;-74;-77;-76
19 de abr;-75;-79;-77
20 de abr;-80;-81;-80
21 de abr;-80;-78;-79
22 de abr;-74;-76;-75
23 de abr;-73;-75;-74
24 de abr;-75;-80;-77
25 de abr;-72;-78;-75
26 de abr;-78;-81;-80
27 de abr;-77;-80;-78
28 de abr;-73;-78;-75
29 de abr;-77;-81;-79
30 de abr;-79;-83;-81
01 de mai;-78;-81;-79
02 de mai;-77;-81;-79
03 de mai;-78;-81;-79
04 de mai;-77;-81;-79
05 de mai;-77;-82;-79
06 de mai;-76;-82;-79
07 de mai;-78;-82;-80
08 de mai;-77;-82;-79
09 de mai;-78;-81;-79
10 de mai;-78;-81;-80
11 de mai;-79;-81;-80
12 de mai;-78;-81;-79
13 de mai;-77;-81;-79
14 de mai;-78;-81;-79
15 de mai;-79;-80;-80
16 de mai;-77;-77;-77
17 de mai;-78;-77;-78
18 de mai;-77;-77;-77
19 de mai;-78;-78;-78
20 de mai;-76;-74;-75
21 de mai;-76;-75;-75
22 de mai;-74;-75;-74
23 de mai;-74;-74;-74
24 de mai;-76;-72;-74
25 de mai;-77;-70;-74
26 de mai;-74;-76;-75
27 de mai;-73;-79;-76
28 de mai;-73;-80;-76
29 de mai;-72;-84;-78
30 de mai;-73;-84;-79
31 de mai;-74;-84;-79
01 de jun;-71;-83;-77
02 de jun;-70;-82;-76
03 de jun;-69;-81;-75
04 de jun;-68;-80;-74
05 de jun;-70;-82;-76
06 de jun;-69;-81;-75
07 de jun;-71;-80;-76
08 de jun;-71;-81;-76
09 de jun;-69;-81;-75
10 de jun;-63;-79;-72
11 de jun;-66;-80;-73
12 de jun;-72;-82;-77
13 de jun;-68;-81;-75
14 de jun;-71;-81;-76
15 de jun;-69;-80;-75
16 de jun;-71;-84;-78
17 de jun;-67;-81;-75
18 de jun;-66;-83;-75
19 de jun;-66;-84;-76
20 de jun;-69;-83;-77
21 de jun;-70;-83;-77
22 de jun;-70;-84;-77
23 de jun;-72;-84;-78
24 de jun;-72;-83;-77
25 de jun;-71;-78;-74
26 de jun;-74;-77;-75
27 de jun;-72;-76;-74
28 de jun;-74;-78;-76
29 de jun;-72;-80;-75
30 de jun;-72;-80;-75
01 de jul;-69;-79;-73
02 de jul;-68;-80;-73
03 de jul;-66;-82;-73
04 de jul;-68;-85;-77
05 de jul;-67;-84;-76
06 de jul;-66;-84;-75
07 de jul;-69;-86;-78
08 de jul;-68;-86;-77
09 de jul;-67;-86;-77
10 de jul;-71;-87;-79
11 de jul;-71;-86;-79
12 de jul;-72;-85;-79
13 de jul;-68;-85;-77
14 de jul;-70;-86;-78
15 de jul;-69;-85;-77
16 de jul;-68;-86;-77
17 de jul;-69;-86;-78
18 de jul;-67;-86;-77
19 de jul;-69;-85;-77
20 de jul;-67;-85;-76
21 de jul;-68;-86;-77
22 de jul;-66;-86;-76
23 de jul;-65;-85;-75
24 de jul;-63;-82;-72
25 de jul;-65;-82;-73
26 de jul;-64;-81;-72
27 de jul;-63;-82;-72
28 de jul;-63;-83;-72
29 de jul;-62;-83;-72
30 de jul;-63;-80;-70
31 de jul;-63;-79;-70
01 de ago;-63;-76;-68
02 de ago;-61;-76;-68
03 de ago;-59;-78;-67
04 de ago;-61;-78;-68
05 de ago;-60;-79;-68
06 de ago;-60;-79;-68
07 de ago;-60;-79;-68
08 de ago;-63;-78;-69
09 de ago;-63;-80;-71
10 de ago;-61;-80;-69
11 de ago;-61;-80;-69
12 de ago;-54;-77;-63
13 de ago;-51;-76;-61
14 de ago;-51;-77;-61
15 de ago;-52;-76;-62
16 de ago;-52;-74;-61
17 de ago;-48;-77;-60
18 de ago;-45;-75;-57
19 de ago;-43;-76;-57
20 de ago;-41;-74;-55
21 de ago;-41;-75;-55
22 de ago;-43;-73;-56
23 de ago;-44;-74;-57
24 de ago;-34;-74;-51
25 de ago;-37;-75;-52
26 de ago;-32;-73;-50
27 de ago;-33;-75;-51
28 de ago;-33;-72;-49
29 de ago;-34;-73;-50
30 de ago;-40;-74;-54
31 de ago;-31;-73;-48
01 de set;-33;-73;-49
02 de set;-33;-74;-50
03 de set;-28;-73;-46
04 de set;-31;-72;-48
05 de set;-33;-72;-49
06 de set;-41;-75;-56
07 de set;-38;-69;-50
08 de set;-26;-69;-43
09 de set;-28;-70;-44
10 de set;-31;-69;-45
11 de set;-29;-71;-45
12 de set;-31;-63;-43
13 de set;-34;-66;-47
14 de set;-27;-69;-44
15 de set;-28;-67;-43
16 de set;-28;-68;-43
17 de set;-28;-67;-43
18 de set;-26;-67;-42
19 de set;-31;-67;-45
20 de set;-32;-68;-47
21 de set;-32;-68;-45
22 de set;-31;-70;-46
23 de set;-30;-69;-45
24 de set;-22;-66;-39
25 de set;-19;-64;-36
26 de set;-18;-67;-37
27 de set;-21;-67;-40
28 de set;-23;-71;-41
29 de set;-28;-72;-45
30 de set;-24;-73;-43
